donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,Developer,3,"Amazon Web Services, Docker","HTML, Javascript, PHP, TypeScript","Laravel, Next.js, React.js, WordPress, Tailwind",MariaDB,Jest,31,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),2000000,Technical Leader,3,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript",Node.js,"PostgreSQL, Redis",Postman,28,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Contractor,1000000,Data Engineer,5,"Azure, Docker, Windows Server","C#, Python, R, Scala, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite, Teradata",Postman,27,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000,Developer,9,"Amazon Web Services, Azure, Docker, Firebase","CSS, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Cordova, Flutter, jQuery, Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL, SQLite","Jest, JUnit, Karma, Postman, Visual Studio Coded UI",31,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,Technical Leader,5,"Docker, Google Cloud Platform, Kubernetes",".NET, Javascript, TypeScript",".NET Core, Angular",Google Cloud Storage,Jest,34,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Contractor,450000,Automatizador,0,"Make (ex-integromat), Prestashop",Javascript,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,32,Hombre Cis,Junior
Córdoba,Full-Time,Staff (planta permanente),835469,Technical Leader,9,"Amazon Web Services, Docker, Kubernetes, Linux","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Next.js, React.js","Amazon RDS/Aurora, MongoDB, MySQL",Pytest,29,Hombre Cis,Senior
Buenos Aires,Full-Time,Contractor,1050000,Technical Leader,3,"Amazon Web Services, Docker, Firebase, Linux","CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Flask, Next.js, Node.js, React.js",Ninguna de las anteriores,"Cypress, Postman, Playwright",28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),860000,Developer,4,Docker,"CSS, HTML, Javascript, SQL","Node.js, React.js","ElasticSearch, PostgreSQL","Cypress, Jest",32,Hombre Cis,Semi-Senior
Corrientes,Full-Time,Contractor,4000000,Developer,15,"Amazon Web Services, Docker, Linux","Javascript, SQL, TypeScript, ","Angular, Node.js, Nestjs ","ElasticSearch, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,42,Hombre Cis,Senior
